john,smith,parent,male,jls@lksd.com,0444440404,mps
fin,matthew,parent,male,jls@lksd.com,0444440404,mps
nordic,von,parent,male,jls@lksd.com,0444440404,mps
jess,von,child,male,jls@lksd.com,0444440404,mps
puren,bot,parent,male,jls@lksd.com,0444440404,mps
fintal,smith,child,male,jls@lksd.com,0444440404,mps
vasu,dio,volunteer,female,jls@lksd.com,0444440404,mps
vatsal,griffin,volunteer,male,jls@lksd.com,0444440404,mps
ntala,gopi,child,male,jls@lksd.com,0444440404,mps
blanie,dopes,child,female,jls@lksd.com,0444440404,mps
norman,giff,volunteer,male,jls@lksd.com,0444440404,mps
